year,level,service
2023-Present,uni,Institutional Animal Care and Use Committee
2025-Present,col,Connections & Engagement Initiative Committee
2024-Present,dept,Undergraduate Curriculum Committee
2024,dept,"Search Committee, Chair of the Department of Fish, Wildlife and Conservation Ecology"
2023-2024,dept,"Diversity, Equity, and Inclusion Committee"
2025-Present,jrn,Information Management Committee
2025-Present,other,"State Wildlife Action Plan (SWAP) for New Mexico Core Team, New Mexico Department of Wildlife"
2023-Present,other,Co-coordinator of Southern African bat assessments for the IUCN Red List
2022-Present,other,GBatNet Prioritizing Key Habitats and Species Conservation Working Group
2020-2024,other,NABat Emergence/Summer Colony Count Working Group
2023,other,"Lesser Long-nosed Bat Post-Delisting Monitoring Plan Participant, U.S. Fish and Wildlife Service"
2021-2022,other,"Diversity, Equity, & Inclusion Committee, Ecology and Evolution Department, University of Chicago"
2017-2019,other,"Planning Committee Member, Northern Colorado & Wyoming chapter of Expanding Your Horizons—an annual STEM workshop for 6th through 8th grade girls"
2017-2018,other,"Dr. David Otis Speaker Series Selection Committee, Colorado State University"
2017,other,"Panel member, Colorado State University Info Session on the NSF Graduate Research Fellowship Program"
2013-2014,other,"Graduate Representative, Population Ecology Assistant Professor Search Committee, University of Montana"
2014,other,"Graduate Representative, Department of Ecosystem & Conservation Sciences Student Evaluation Committee, University of Montana"
