year,year2,Institution/Event
2026,2026,"Angelo State University, Dept. of Biology"
2026,,"University of Nevada, Las Vegas, School of Life Sciences"
2026,,National Park Service Natural Resources Stewardship and Science Directorate webinar
2024,2024,Jornada Basin LTER Desert Ecology Short-Course
2023,2023,"Iowa State University, Dept. of Natural Resource Ecology and Management"
2023,,North American Bat Monitoring Program (NABat) Community of Practice call
2023,,"New Mexico State University, Dept. of Biology"
2022,2022,"University of Illinois Urbana-Champaign, Program in Ecology, Evolution, and Conservation Biology"
2022,,"New Mexico State University, Dept. of Fish, Wildlife and Conservation Ecology"
2021,2021,"Bat Conservation International, Brown Bat Lunch series"
2021,,"Rutgers University–New Brunswick, Graduate Program in Ecology and Evolution"
2021,,"Society for Conservation Biology, Emerging Issues in Conservation series"
2021,,"Indiana State University, Dept. of Biology"
2021,,"University of Northern Colorado, Dept. of Biology"
2020,2020,"Boise State University, Dept. of Biological Sciences"
2020,,"Oak Ridge National Laboratory, Aquatic Ecology Group"
